City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kolonia,50.9333,6.95,28.31,48,16,2.63,DE,1722877144
83,huarmey,-10.0681,-78.1522,20.45,68,11,5.33,PE,1722877146
84,iqaluit,63.7506,-68.5145,6.85,93,100,1.54,CA,1722877024
85,tiksi,71.6872,128.8694,10.29,90,99,2.93,RU,1722877009
86,jianguang,28.1938,115.7836,26.36,86,100,2.06,CN,1722877149
87,susuman,62.7833,148.1667,10.57,52,100,3.52,RU,1722877150
88,cavelossim,15.1726,73.9419,27.99,86,31,2.33,IN,1722877151
89,aasiaat,68.7098,-52.8699,2.68,90,84,1.93,GL,1722877152
90,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1722876896
91,puerto san jose,13.9256,-90.8244,29.03,70,82,1.04,GT,1722877155
92,hamilton,39.1834,-84.5333,32.99,58,0,2.24,US,1722877156
93,akureyri,65.6835,-18.0878,12.96,76,100,4.63,IS,1722877157
94,papatowai,-46.5619,169.4708,5.11,85,16,3.2,NZ,1722877158
95,nova vicosa,-17.8919,-39.3719,25.88,58,14,4.23,BR,1722877048
96,alaghsas,17.0187,8.0168,34.94,43,97,6.17,NE,1722877160
97,devils lake,48.1128,-98.8651,15.06,90,100,4.63,US,1722877161
98,na klang,17.3072,102.1889,24.53,89,100,1.84,TH,1722877162
99,olonkinbyen,70.9221,-8.7187,6.62,95,96,2.67,SJ,1722877163
100,bonito,-21.1211,-56.4819,35.19,19,1,4.92,BR,1722877010
101,segovia,41.1667,-4.0,35.8,15,1,5.72,ES,1722877166
102,juan griego,11.0817,-63.9655,29.07,74,61,5.66,VE,1722877167
103,ushuaia,-54.8,-68.3,-0.21,74,20,2.06,AR,1722876906
104,kourou,5.1552,-52.6478,33.03,54,4,4.88,GF,1722877169
105,yamada,39.4667,141.95,21.93,97,25,1.12,JP,1722877170
106,margaret river,-33.95,115.0667,16.07,86,55,7.62,AU,1722877171
107,utrik,11.2278,169.8474,28.38,80,98,7.21,MH,1722877172
108,atafu village,-8.5421,-172.5159,28.01,76,83,3.04,TK,1722877174
109,tabou,4.423,-7.3528,25.32,76,61,3.93,CI,1722877175
110,dalandzadgad,43.5708,104.425,25.41,29,86,3.05,MN,1722877177
111,port saint john's,-31.6229,29.5448,14.54,63,0,0.98,ZA,1722877178
112,dolores,-36.3132,-57.6792,16.2,61,66,7.39,AR,1722877179
113,kindu,-2.95,25.95,28.55,30,83,0.25,CD,1722877180
114,whitehorse,60.7161,-135.0538,16.72,62,20,1.03,CA,1722876989
115,invercargill,-46.4,168.35,3.34,92,41,1.79,NZ,1722877183
116,francistown,-21.17,27.5079,23.18,15,0,4.72,BW,1722877184
117,chipinge,-20.1883,32.6236,19.62,18,0,2.82,ZW,1722877185
118,puerto lempira,15.2667,-83.7667,31.08,66,40,3.09,HN,1722877186
119,talnakh,69.4865,88.3972,9.42,64,0,2.08,RU,1722877187
120,suicheng,33.8963,117.9331,27.61,90,11,2.84,CN,1722877188
121,gebeit,21.0667,36.3167,32.19,41,96,1.28,SD,1722877189
122,kapuskasing,49.4169,-82.4331,20.05,42,75,4.12,CA,1722877190
123,lebu,-37.6167,-73.65,10.79,66,100,2.27,CL,1722877001
124,gustavsberg,59.3268,18.3898,22.43,77,90,1.91,SE,1722877193
125,nelson bay,-32.7167,152.15,11.16,96,100,2.63,AU,1722877194
126,saipan,15.1355,145.701,27.39,89,0,2.06,MP,1722877195
127,nantucket,41.2835,-70.0995,29.08,77,0,4.12,US,1722876899
128,sawakin,19.1059,37.3321,35.98,44,51,6.78,SD,1722877197
129,waitangi,-43.9535,-176.5597,8.23,93,89,0.45,NZ,1722877058
130,stanley,54.868,-1.6985,23.61,69,96,4.57,GB,1722877201
131,sarangani,5.4033,125.4636,28.75,74,93,2.12,PH,1722877202
132,ceelbuur,4.685,46.6176,27.1,54,51,10.39,SO,1722877203
133,tadine,-21.55,167.8833,17.7,68,54,4.96,NC,1722877204
134,bayanhongor,46.7167,100.1167,11.76,47,3,2.89,MN,1722877205
135,new norfolk,-42.7826,147.0587,11.07,76,100,2.62,AU,1722877040
136,avarua,-21.2078,-159.775,24.03,78,75,4.12,CK,1722877207
137,kerikeri,-35.2268,173.9474,6.35,91,7,1.91,NZ,1722877209
138,coquimbo,-29.9533,-71.3436,13.85,82,40,4.63,CL,1722876797
139,lewiston orchards,46.3804,-116.9754,21.95,73,75,2.06,US,1722877212
140,srisailain,16.0833,78.8667,24.82,77,79,1.51,IN,1722877213
141,posto fiscal rolim de moura,-13.0833,-62.2667,38.24,19,0,1.63,BR,1722877214
142,wailua homesteads,22.0669,-159.378,24.24,81,0,8.75,US,1722877049
143,lihue,21.9789,-159.3672,24.09,94,68,4.67,US,1722877216
144,malumfashi,11.7853,7.6218,25.69,74,99,4.89,NG,1722877218
145,fale old settlement,-9.3852,-171.2468,27.73,79,100,4.97,TK,1722877164
146,anadyr,64.75,177.4833,1.28,100,75,4.0,RU,1722877220
147,ust-tsilma,65.441,52.1498,16.09,63,8,3.44,RU,1722877221
148,bentiu,9.2333,29.8333,22.86,92,100,1.41,SS,1722877222
149,kruisfontein,-34.0033,24.7314,12.16,59,5,2.05,ZA,1722877223
150,jamestown,42.097,-79.2353,29.45,65,75,6.69,US,1722877069
151,san blas,21.5167,-105.2667,32.94,65,42,1.16,MX,1722877226
152,goure,13.9835,10.2704,21.77,89,100,6.45,NE,1722877227
153,nouadhibou,20.931,-17.0347,24.99,78,3,8.23,MR,1722877228
154,jabor,5.921,169.6434,28.26,77,40,3.75,MH,1722877229
155,coxim,-18.5067,-54.76,36.36,16,0,3.84,BR,1722877230
156,leua,48.2156,18.6071,22.5,44,85,5.74,SK,1722877231
157,happy valley-goose bay,53.3168,-60.3315,25.17,31,75,6.69,CA,1722877232
